,,pol1,pol2,sci1,sci2
L1,M1,AP,DP,AS,BS
M2,L2,AP,DP,AS,BS
L3,M3,DP,AP,BS,AS
M4,L4,DP,AP,BS,AS
L5,M5,BP,CP,CS,DS
M6,L6,BP,CP,CS,DS
L7,M7,CP,BP,DS,CS
M8,L8,CP,BP,DS,CS
L9,M9,AP,DP,ES,FS
M10,L10,AP,DP,ES,FS
L11,M11,DP,AP,FS,ES
M12,L12,DP,AP,FS,ES
L13,M13,BP,CP,GS,HS
M14,L14,BP,CP,GS,HS
L15,M15,CP,BP,HS,GS
M16,L16,CP,BP,HS,GS
L17,M17,AP,DP,AS,BS
M18,L18,AP,DP,AS,BS
L19,M19,DP,AP,BS,AS
M20,L20,DP,AP,BS,AS
L21,M21,BP,CP,CS,DS
M22,L22,BP,CP,CS,DS
L23,M23,CP,BP,DS,CS
M24,L24,CP,BP,DS,CS
L25,M25,AP,DP,ES,FS
M26,L26,AP,DP,ES,FS
L27,M27,DP,AP,FS,ES
M28,L28,DP,AP,FS,ES
L29,M29,BP,CP,GS,HS
M30,L30,BP,CP,GS,HS
L31,M31,CP,BP,HS,GS
M32,L32,CP,BP,HS,GS
